Well_Number,Date,DTW_1,Collected_by
TN157_000168,1/8/2020 10:47,112.64,Rvlllpnd
TN157_000168,1/21/2020 12:21,110.63,Rvlllpnd
TN157_000168,2/8/2021 12:07,116.12,Jltowell
TN157_000168,6/5/2020 10:47,110.03,Rvlllpnd
TN157_000168,7/14/2021 11:35,122.92,Jltowell
TN157_000168,7/19/2019 10:35,113.61,Rvlllpnd
TN157_000168,9/2/2020 12:27,119.86,Jltowell
TN157_000168,9/12/2019 9:07,117.7,Rvlllpnd
TN157_000168,12/2/2020 10:55,119.86,Jltowell
TN157_000364,1/9/2020 8:55,136.61,Rvlllpnd
TN157_000364,6/4/2020 13:25,134.81,Rvlllpnd
TN157_000364,7/7/2021 11:57,155.28,K
TN157_000364,7/19/2019 12:50,137.41,Rvlllpnd
TN157_000364,9/10/2019 10:22,143.89,Rvlllpnd
TN157_000364,9/16/2019 15:10,146.95,Rvlllpnd
TN157_000364,9/17/2019 8:00,145.75,Rvlllpnd
TN157_000364,9/18/2019 9:14,145.71,Rvlllpnd
TN157_000364,9/19/2019 14:13,143.45,Rvlllpnd
TN157_000364,10/11/2021 14:44,155.4,RW
TN157_000532,1/8/2020 10:39,155.51,Rvlllpnd
TN157_000532,1/21/2020 12:08,154.62,Rvlllpnd
TN157_000532,2/8/2021 11:55,160.06,Jltowell
TN157_000532,6/5/2020 10:38,158.75,Rvlllpnd
TN157_000532,7/14/2021 11:25,161.45,Jltowell
TN157_000532,7/19/2019 10:58,158.57,Rvlllpnd
TN157_000532,9/2/2020 12:15,162.5,Jltowell
TN157_000532,9/12/2019 8:54,159.6,Rvlllpnd
TN157_000532,12/2/2020 10:40,160.25,Jltowell
TN157_000600,3/23/2020 12:59,85.31,Rvlllpnd
TN157_000600,6/4/2020 9:15,83.93,Khasan
TN157_000600,7/14/2020 12:38,83.49,Khasan
TN157_000600,9/3/2020 13:27,84.1,Khasan
TN157_000600,12/7/2020 10:32,83.7,Khasan
TN157_000603,1/9/2020 8:49,46.01,Rvlllpnd
TN157_000603,6/4/2020 12:59,45,Rvlllpnd
TN157_000603,7/7/2021 11:49,45.36,Kh
TN157_000603,9/10/2019 10:13,46.08,Rvlllpnd
TN157_000603,9/16/2019 15:25,46.04,Rvlllpnd
TN157_000603,9/19/2019 14:35,46.05,Rvlllpnd
TN157_000603,10/11/2021 14:30,45.42,Rvlllpnd
TN157_000604,1/8/2020 10:31,42.81,Rvlllpnd
TN157_000604,6/5/2020 10:34,38.8,Rvlllpnd
TN157_000604,7/14/2021 11:20,43.44,Jltowell
TN157_000604,12/2/2020 10:25,47.84,Jltowell
TN157_002380,1/7/2020 11:47,17.85,Rvlllpnd
TN157_002380,1/21/2020 9:30,15.8,Rvlllpnd
TN157_002380,2/8/2021 10:25,22.92,Jltowell
TN157_002380,6/5/2020 8:31,14.11,Rvlllpnd
TN157_002380,6/23/2020 10:33,16.83,Rvlllpnd
TN157_002380,6/24/2020 9:53,15.86,Rvlllpnd
TN157_002380,7/1/2020 9:43,17.57,Rvlllpnd
TN157_002380,7/14/2021 9:52,21.29,Jltowell
TN157_002380,9/2/2020 9:32,21.24,Jltowell
TN157_002380,12/2/2020 9:34,23.69,Jltowell
TN157_002386,1/7/2020 12:24,18.11,Rvlllpnd
TN157_002386,1/21/2020 10:02,15.01,Rvlllpnd
TN157_002386,2/8/2021 10:52,23.14,Jltowell
TN157_002386,2/27/2020 11:27,13.68,Rvlllpnd
TN157_002386,6/5/2020 8:56,14.57,Rvlllpnd
TN157_002386,6/22/2020 9:30,16.085,Dlarsen
TN157_002386,7/1/2020 10:05,17.15,Rvlllpnd
TN157_002386,7/14/2021 10:12,21.9,Jltowell
TN157_002386,7/19/2019 9:34,13.84,Rvlllpnd
