id,well_number,measurement_date_utc,dtw_avg,dtw_1,dtw_2,tape_error,comments,water_level,data_source,collected_by,is_dry
1,TN113_000059,2021-11-05 13:30:27,50.24,50.24,,,raised transudcer to 53 ft,378.73,Manual,UNKNOWN,0
2,TN113_000059,2017-07-05 11:15:43,55.02,55.02,,,,373.9500000000001,Manual,UNKNOWN,0
4,TN113_000059,2017-08-01 11:25:08,55.01,55.01,,,,373.96,Manual,UNKNOWN,0
5,TN113_000059,2017-08-15 12:00:13,55.05,55.05,,,,373.92,Manual,UNKNOWN,0
6,TN113_000059,2017-09-08 15:00:27,55.16,55.16,,,,373.81000000000006,Manual,UNKNOWN,0
7,TN113_000059,2017-10-13 12:00:34,55.11,55.11,,,,373.86,Manual,UNKNOWN,0
8,TN113_000059,2018-03-22 11:45:00,55.38,55.38,,,,373.59,Manual,UNKNOWN,0
9,TN113_000059,2018-06-07 12:00:45,54.48,54.48,,,No transducer data but note says it was downloaded. Time must not be clear,374.49,Manual,UNKNOWN,0
10,TN113_000060,2018-07-25 10:15:57,5.47,5.47,,,,364.7,Manual,UNKNOWN,0
11,TN113_000060,2018-08-15 11:00:59,5.41,5.41,,,,364.76,Manual,UNKNOWN,0
12,TN113_000059,2018-08-15 23:25:53,54.25,54.25,,,,374.72,Manual,UNKNOWN,0
13,TN113_000059,2018-08-29 17:07:11,54.45,54.45,,,,374.52,Manual,UNKNOWN,0
14,TN113_000059,2018-09-18 12:00:03,54.27,54.27,,,,374.7000000000001,Manual,UNKNOWN,0
15,TN113_000060,2018-12-19 11:40:19,5.85,5.85,,,,364.32,Manual,UNKNOWN,0
16,TN113_000059,2019-03-05 12:30:29,53.6,53.6,,,,375.37,Manual,UNKNOWN,0
17,TN113_000059,2019-04-24 14:00:49,52.54,52.54,,,,376.43,Manual,UNKNOWN,0
18,TN113_000059,2019-05-21 12:45:18,52.3,52.3,,,,376.67,Manual,UNKNOWN,0
19,TN113_000059,2019-06-25 15:00:28,52.23,52.23,,,,376.74,Manual,UNKNOWN,0
20,TN113_000059,2019-07-24 12:00:35,52.19,52.19,,,,376.78,Manual,UNKNOWN,0
21,TN113_000059,2019-12-20 12:30:46,51.92,51.92,,,,377.05,Manual,UNKNOWN,0
23,TN113_000060,2020-02-07 12:00:27,5.28,5.28,,,,364.89,Manual,UNKNOWN,0
24,TN113_000059,2020-06-01 12:30:32,50.33,50.33,,,,378.64,Manual,UNKNOWN,0
25,TN113_000059,2020-08-24 12:30:43,50.13,50.13,,,,378.84,Manual,UNKNOWN,0
26,TN113_000059,2020-09-21 13:00:35,49.95,49.95,,,,379.02,Manual,UNKNOWN,0
27,TN113_000059,2020-12-09 11:30:25,50.01,50.01,,,,378.96,Manual,UNKNOWN,0
28,TN113_000059,2020-11-17 11:30:13,50.3,50.3,,,,378.67,Manual,UNKNOWN,0
29,TN113_000059,2021-06-15 12:30:40,50.11,50.11,,,,378.86,Manual,UNKNOWN,0
31,TN113_000059,2021-07-20 11:30:27,49.7,49.7,,,,379.27,Manual,UNKNOWN,0
32,TN113_000060,2021-11-05 11:30:37,7.07,7.07,,,,363.1,Manual,UNKNOWN,0
33,TN113_000059,2021-11-05 13:45:59,50.24,50.24,,,,378.73,Manual,UNKNOWN,0
34,TN113_000060,2021-12-14 10:50:12,6.88,6.88,,,,363.29,Manual,UNKNOWN,0
35,TN113_000059,2021-12-14 13:50:11,50.81,50.81,,,,378.16,Manual,UNKNOWN,0
36,TN113_000060,2022-02-25 12:00:28,6.2,6.2,,,,363.97,Manual,UNKNOWN,0
37,TN113_000059,2022-02-25 12:45:34,50.71,50.71,,,,378.2600000000001,Manual,UNKNOWN,0
38,TN113_000060,2022-04-07 10:30:00,6.58,6.58,,,,363.59,Manual,UNKNOWN,0
39,TN113_000059,2022-04-07 12:30:36,50.22,50.22,,,,378.75,Manual,UNKNOWN,0
40,TN113_000060,2022-05-13 12:45:19,6.9,6.9,,,,363.27,Manual,UNKNOWN,0
41,TN113_000059,2022-05-13 11:15:16,50.1,50.1,,,,378.87,Manual,UNKNOWN,0
42,TN113_000060,2022-06-09 11:30:58,6.5,6.5,,,,363.67,Manual,UNKNOWN,0
43,TN113_000060,2022-08-19 12:25:05,6.51,6.51,,,,363.66,Manual,UNKNOWN,0
44,TN113_000060,2022-09-20 14:00:15,7.26,7.26,,,,362.91,Manual,UNKNOWN,0
45,TN113_000059,2022-11-19 12:00:24,50.43,50.43,,,,378.54,Manual,UNKNOWN,0
