id,serial_number,well_number,start_date,end_date,notes
1,2100164,TN157_000168,2019-07-19 20:00:00,,
2,2100205,TN157_000364,2019-07-19 20:00:00,,
3,2100184,TN157_000532,2019-07-19 20:00:00,,
4,2100187,TN157_000600,2019-05-28 16:00:00,,
5,2100196,TN157_000603,2019-07-19 20:00:00,,
6,2057711,TN157_000604,2019-07-19 20:00:00,,
7,2111765,TN157_000609,2020-02-04 17:00:00,,
8,2034462,TN157_000610,2019-01-10 23:00:00,,
9,2140231,TN157_002422,2021-07-16 16:30:00,,
10,2111766,TN157_002435,2021-08-18 16:00:00,,
11,2111764,TN157_002438,2021-08-18 16:00:00,,
12,1035718,TN157_002487,2021-10-13 15:00:00,,
13,1035600,TN157_002488,2021-10-13 16:30:00,,
14,2100190,TN157_002495,2019-07-19 20:00:00,,
15,2111763,TN157_002647,2020-02-04 18:00:00,,
16,2140222,TN157_002659,2021-07-16 18:00:00,,
17,2100204,TN157_003012,2019-05-03 20:00:00,,
18,2100172,TN157_003013,2019-05-03 20:00:00,,
19,2140239,TN157_003033,2021-07-16 19:00:00,,
20,2140243,TN157_003066,2021-07-16 18:30:00,,
21,2140234,TN157_003067,2021-07-16 15:30:00,,
22,2140225,TN157_003070,2021-07-16 17:30:00,,
23,2100183,TN157_003082,2019-05-09 18:00:00,,
24,2100167,TN157_003103,2019-05-03 20:00:00,,
25,2100191,TN157_003104,2019-05-03 20:00:00,,
26,2100161,TN157_003109,2019-05-03 20:00:00,,
27,2100203,TN157_003400,2021-10-11 21:15:00,,
28,2111164,TN157_003482,2021-10-13 14:15:00,,
29,2140240,TN157_001821,2021-07-16 17:00:00,,
30,2111760,TN157_003401,2020-05-22 14:30:00,,
31,2100202,TN157_003387,2019-03-04 17:00:00,,
32,1034480,TN157_000608,2022-08-24 14:15:00,,
