well_number,cae_number,latitude,longitude,top_of_casing,aquifer,min_distance_to_stream,well_field,cluster,county,picture_path,picture_updated_at,data_source,url,user_flag,parking_instructions,access_requirements,safety_notes,special_instructions,created_at
TN157_000608,1T4,35.100331,-90.03924,295.07,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000609,1T5,35.097861,-90.016163,253.8,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000610,1T6,35.084968,-90.01954,256.39,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002647,1T13,35.08625404,-90.03045829,237.76,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003070,Q167UR30,35.228822,-89.821991,305.77,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003482,CVL1,35.05634,-89.723932,344.73,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000168,J140,35.023556,-90.122552,292.99,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000532,J185,35.023541,-90.122802,295.23,FP,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000604,J172,35.023226,-90.122821,291.6,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003400,GGMW2,35.10480771,-89.77705252,271.48,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003401,GGMW1,35.10482461,-89.77707129,271.05,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003012,K171UR13S,35.07844036,-89.87987053,268.77,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003013,L110UR25S,35.04949478,-89.81782642,285.02,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_001820,K169UR11,35.0413415,-89.88173489,294.97,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003103,K175UR12R,35.05223271,-89.8806062,289.31,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003104,K174UR13MR,35.07852089,-89.87975969,269.18,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003109,L111UR25M,35.0496288,-89.81799875,285.65,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003067,L108UR23,35.030991,-89.808168,334.6,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002659,Q156,35.190897,-89.85144,312.06,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003066,Q164UR19,35.182449,-89.832327,269.81,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000364,R030,35.136573,-89.718722,324.14,FP,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000603,R032,35.136426,-89.718731,325.13,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002495,R031,35.13628216,-89.71873278,324.71,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000600,K156_96s,35.100073,-89.929877,279.68,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003082,K163_99s,35.1116141,-89.93052134,281.27,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003387,K003_UofM,35.11992505,-89.93815229,306.44,MEM,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003033,P217,35.125334,-89.930775,317.52,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002435,NC1,35.077696,-89.930462,253.36,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002438,NCGETSW,35.077573,-89.930607,246.299,RIVER,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002487,P210,35.127266,-89.939188,312.13,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002488,P211,35.126728,-89.942983,313.1,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002422,Q111,35.143953,-89.853663,261.41,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_001821,P226UR10,35.193483,-89.907112,244.73,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003774,CVL2,35.056383,-89.723937,345.68,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003766,JRWF2,35.068047,-89.749037,360.56,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000599,O255,35.16556,-90.027611,254.21,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_000598,P212,35.157187,-89.998082,250.52,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_003046,J217,35.044919,-90.091506,244.14,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002372,Q173,35.136434,-89.84568,250.08,SHAL,,,,Shelby,default_well.jpg,,transducer,,unchecked,,,,,3/23/2025 14:06
TN157_002032,Sh:K-045,35.11631516,-89.9337188,285.964772,FP,,,,Shelby,default_well.jpg,,telemetry,"https://monitormywatershed.org/api/csv-values/?result_ids=7485,7486",unchecked,,,,,3/23/2025 14:06
TN157_000429,Sh:W-003,35.2971459,-89.6621443,277.73,MEM,,,,Shelby,default_well.jpg,,telemetry,"https://monitormywatershed.org/api/csv-values/?result_ids=7467,7468",unchecked,,,,,3/23/2025 14:06
TN157_002423,Sh:Q-112,35.13535624,-89.8532409,248.784187,SHAL,,,,Shelby,default_well.jpg,,telemetry,"https://monitormywatershed.org/api/csv-values/?result_ids=7479,7480",unchecked,,,,,3/23/2025 14:06
TN157_003132,Sh:Q-177,35.13643446,-89.8456801,248.452421,SHAL,,,,Shelby,default_well.jpg,,telemetry,"https://monitormywatershed.org/api/csv-values/?result_ids=7473,7474",unchecked,,,,,3/23/2025 14:06
TN157_000617,Sh:P-216,35.24093552,-89.9632354,296.04217,SHAL,,,,Shelby,default_well.jpg,,telemetry,"https://monitormywatershed.org/api/csv-values/?result_ids=7853,7854",unchecked,,,,,3/23/2025 14:06
